epoch,train_loss,val_loss,val_auc,accuracy,lr
37,0.214876,0.631229,0.964962,0.789765,0.00009939
38,0.145119,0.589035,0.966010,0.795300,0.00009863
39,0.213125,0.675710,0.963412,0.782318,0.00009758
40,0.189915,0.575195,0.964130,0.789362,0.00009623
41,0.176048,0.596113,0.964989,0.794344,0.00009460
42,0.185480,0.543777,0.963572,0.791878,0.00009271
43,0.167434,0.525084,0.969600,0.803200,0.00009055
44,0.183088,0.578390,0.966801,0.796458,0.00008814
45,0.168185,0.529150,0.964968,0.786947,0.00008550
46,0.132755,0.566913,0.965255,0.789614,0.00008265
47,0.187886,0.522215,0.965714,0.791174,0.00007960
48,0.183092,0.682225,0.965348,0.796206,0.00007636
49,0.152340,0.553256,0.968558,0.796206,0.00007297
50,0.181659,0.515352,0.968807,0.799779,0.00006944
51,0.175926,0.523176,0.968888,0.807025,0.00006580
52,0.173694,0.510410,0.966134,0.798823,0.00006206
53,0.178604,0.628879,0.966207,0.796910,0.00005824
54,0.182571,0.475384,0.966827,0.810044,0.00005438
55,0.138881,0.554686,0.966373,0.798722,0.00005050
56,0.167060,0.506685,0.967265,0.806169,0.00004662
57,0.173136,0.548982,0.966825,0.800936,0.00004276
58,0.167442,0.710585,0.964963,0.802244,0.00003894
59,0.151182,0.588080,0.967292,0.802949,0.00003520
60,0.186396,0.577118,0.966979,0.803251,0.00003156
61,0.154546,0.593066,0.966128,0.803905,0.00002803
62,0.162317,0.513611,0.966514,0.803754,0.00002464
63,0.164364,0.521150,0.965160,0.801791,0.00002140
64,0.175643,0.644078,0.966058,0.803402,0.00001835
65,0.181764,0.525728,0.967622,0.804962,0.00001550
66,0.148794,0.544771,0.967732,0.803502,0.00001286
67,0.156610,0.525252,0.968876,0.807880,0.00001045
68,0.151883,0.510928,0.968275,0.805716,0.00000829
69,0.137650,0.508334,0.968426,0.808232,0.00000640
70,0.139947,0.545877,0.968836,0.808534,0.00000477
71,0.153948,0.532008,0.968226,0.807226,0.00000342
72,0.167360,0.545290,0.968118,0.806974,0.00000237
73,0.150102,0.515458,0.968212,0.807125,0.00000161
74,0.166533,0.525906,0.968765,0.807628,0.00000115
75,0.186076,0.507196,0.967652,0.806924,0.00010000
76,0.193577,0.485705,0.965671,0.806018,0.00009996
77,0.161976,0.601944,0.970303,0.792935,0.00009985
78,0.157156,0.691578,0.960709,0.787450,0.00009966
79,0.161924,0.623059,0.966625,0.788306,0.00009939
1,1.595445,1.145442,0.798420,0.00009055
2,1.492543,1.156006,0.792834,0.00006580
3,1.566142,1.125465,0.804609,0.00003520
4,1.685158,1.164838,0.803351,0.00001045
5,1.590322,1.191701,0.803955,0.00010000
6,1.562051,1.172345,0.801842,0.00009758
7,1.563473,1.205226,0.799426,0.00009055
8,1.693196,1.156618,0.797414,0.00007960
9,1.505162,1.126285,0.802144,0.00006580
10,1.592889,1.205767,0.795652,0.00005050
11,1.514751,1.169502,0.799175,0.00003520
12,1.584050,1.118351,0.801791,0.00002140
13,1.590617,1.107982,0.797464,0.00001045
14,1.514387,1.097322,0.798722,0.00000342
15,1.583094,1.143962,0.798973,0.00010000
16,1.427509,1.223899,0.794344,0.00009939
17,1.412743,1.195121,0.795602,0.00009758
18,1.484087,1.362586,0.790268,0.00009460
19,1.492671,1.156148,0.802093,0.00009055
20,1.447910,1.273803,0.791375,0.00008550
21,1.514522,1.140957,0.792834,0.00007960
22,1.432344,1.144481,0.793640,0.00007297
23,1.485905,1.160719,0.787954,0.00006580
24,1.471664,1.306580,0.788004,0.00005824
25,1.552122,1.204883,0.792281,0.00005050
26,1.543619,1.145133,0.795954,0.00004276
27,1.513830,1.213502,0.789614,0.00003520
28,1.568072,1.249719,0.796558,0.00002803
1,1.774230,1.434956,0.785085,0.00009055
2,1.830188,1.311709,0.789413,0.00006580
3,1.667755,1.242787,0.791224,0.00003520
4,1.676330,1.306124,0.787450,0.00001045
5,1.577023,1.383394,0.791577,0.00010000
6,1.789062,1.444467,0.787299,0.00009758
7,1.623578,1.125656,0.782720,0.00009055
8,1.764178,1.161822,0.775374,0.00007960
9,1.764405,1.099702,0.773160,0.00006580
10,1.797922,1.118781,0.777739,0.00005050
11,1.776812,1.119990,0.782972,0.00003520
12,1.843558,1.139444,0.780053,0.00002140
13,1.711266,1.290631,0.786041,0.00001045
14,1.725966,1.197179,0.783425,0.00000342
15,1.756915,1.171766,0.785136,0.00010000
16,1.774450,1.601244,0.786444,0.00009939
17,1.739411,1.335299,0.785538,0.00009758
18,1.788281,1.257602,0.787199,0.00009460
19,1.653604,1.204488,0.787148,0.00009055
20,1.699338,1.266927,0.790168,0.00008550
21,1.639375,1.144727,0.789715,0.00007960
22,1.632024,1.291170,0.788255,0.00007297
23,1.774711,1.383911,0.788608,0.00006580
24,1.697535,1.214549,0.783274,0.00005824
25,1.727697,1.045496,0.794193,0.00005050
26,1.726914,1.058919,0.795602,0.00004276
