epoch,train_loss,val_loss,train_acc,val_acc,val_auc,lr
1,7.529672,4.467992,0.276225,0.388064,0.786231,0.00002000
2,2.543920,2.404120,0.552543,0.620389,0.901517,0.00008000
3,1.565190,1.720649,0.727890,0.710411,0.932053,0.00014000
4,1.204178,1.414164,0.826342,0.741559,0.948240,0.00001956
5,1.012787,1.312277,0.880420,0.752680,0.952270,0.00001828
6,0.958168,1.275056,0.893256,0.752629,0.952321,0.00001629
7,0.938101,1.291809,0.904035,0.755346,0.953503,0.00001378
8,0.919243,1.307841,0.907167,0.755296,0.952432,0.00001100
9,0.882880,1.205007,0.915244,0.755799,0.954536,0.00000822
10,0.876364,1.366965,0.916134,0.758215,0.952529,0.00000571
11,0.863481,1.344742,0.922767,0.757711,0.952558,0.00000372
12,0.851200,1.355908,0.923443,0.755548,0.952966,0.00000244
13,0.877886,1.241145,0.926023,0.757460,0.953646,0.00002000
14,0.858225,1.261404,0.925501,0.752629,0.953941,0.00001989
15,0.822791,1.298561,0.931151,0.755045,0.952878,0.00001956
16,0.823328,1.301105,0.934498,0.756554,0.953603,0.00001902
17,0.810085,1.265656,0.937999,0.755598,0.953727,0.00001828
18,0.799284,1.258790,0.941070,0.759976,0.955294,0.00001736
19,0.797303,1.245363,0.944509,0.757561,0.955270,0.00001629
20,0.783469,1.283542,0.946659,0.758064,0.954303,0.00001509
21,0.764310,1.246218,0.951142,0.756554,0.955531,0.00001378
epoch,train_loss,val_loss,train_acc,val_acc,val_auc,lr
1,5.605486,3.070176,0.244718,0.310170,0.758622,0.00001000
2,3.068770,2.245969,0.537618,0.500277,0.855486,0.00002800
3,1.894215,1.613559,0.679769,0.566145,0.906995,0.00004600
4,1.357533,1.388772,0.800762,0.641725,0.929918,0.00006400
5,1.071270,1.259662,0.890308,0.591355,0.937455,0.00008200
6,0.898777,1.207106,0.949975,0.635938,0.938364,0.00000978
7,0.826444,1.148749,0.972147,0.653047,0.941705,0.00000914
8,0.814342,1.157260,0.976293,0.672822,0.943240,0.00000815
9,0.792768,1.151014,0.980377,0.652594,0.942386,0.00000689
10,0.794225,1.139312,0.982435,0.657978,0.942578,0.00000550
11,0.787752,1.145836,0.982312,0.666029,0.943441,0.00000411
12,0.774150,1.150359,0.984216,0.682987,0.943383,0.00000285
